DOID:5585	ferguson-smith tumor|ferguson-smith tumors|ferguson-smith tumour|multiple self healing epithelioma of ferguson-smith
DOID:1036	chronic leukemia
DOID:4210	clear cell meningioma|clear cell meningiomas
DOID:6192	inflammatory malignant fibrous histiocytoma|inflammatory malignant fibrous histiocytomas|inflammatory mfh|malignant xanthogranuloma|malignant xanthogranulomas
DOID:2431	glomus neoplasm|glomus neoplasms|glomus tumor|glomus tumor [disease/finding]|glomus tumors|glomus tumour|glomus tumour [disease/finding]|glomus tumours|tumor glomus|tumour glomus
DOID:4413	cervical melanoma|cervical melanomas|cervix melanoma|cervix melanomas|melanoma of the cervix
DOID:4921	eccrine sweat gland cancer|eccrine sweat gland cancers|malignant eccrine neoplasm|malignant eccrine neoplasm of skin|malignant eccrine neoplasm of the skin|malignant eccrine neoplasms|malignant eccrine skin neoplasm|malignant eccrine skin neoplasms|malignant eccrine skin tumor|malignant eccrine skin tumors|malignant eccrine skin tumour|malignant eccrine tumor|malignant eccrine tumor of skin|malignant eccrine tumor of the skin|malignant eccrine tumors|malignant eccrine tumour|malignant eccrine tumour of skin|malignant eccrine tumour of the skin
DOID:10366	epididymis cancer|epididymis cancers|malig neo epididymis|malignant epididymal neoplasm|malignant epididymal neoplasms|malignant epididymal tumor|malignant epididymal tumors|malignant epididymal tumour|malignant neoplasm of epididymis|malignant neoplasm of the epididymis|malignant tumor of epididymis|malignant tumor of the epididymis|malignant tumour of epididymis|malignant tumour of the epididymis
DOID:7244	bladder urachal urothelial carcinoma|bladder urachal urothelial carcinomas
DOID:7613	meningeal sarcomatosis|meninges sarcomatosis|sarcomatosis of meninges|sarcomatosis of the meninges
DOID:5772	central nervous system hematologic cancer|central nervous system hematologic cancers|central nervous system hematopoietic neoplasm|central nervous system hematopoietic neoplasms|central nervous system hematopoietic tumor|central nervous system hematopoietic tumors|central nervous system hematopoietic tumour|cns hematopoietic neoplasm|cns hematopoietic neoplasms|cns hematopoietic tumor|cns hematopoietic tumors|cns hematopoietic tumour|hematopoietic neoplasm of central nervous system|hematopoietic neoplasm of cns|hematopoietic neoplasm of the central nervous system|hematopoietic neoplasm of the cns|hematopoietic tumor of central nervous system|hematopoietic tumor of the central nervous system|hematopoietic tumour of central nervous system|hematopoietic tumour of the central nervous system|lymphomas and hemopoietic neoplasms of cns|lymphomas and hemopoietic neoplasms of the cns
DOID:7565	vulvar eccrine porocarcinoma|vulvar eccrine porocarcinomas
DOID:5591	eccrine papillary adenocarcinoma|eccrine papillary adenocarcinomas
DOID:6939	childhood brain meningioma|childhood brain meningiomas|childhood meningioma of brain|childhood meningioma of the brain|pediatric brain meningioma|pediatric brain meningiomas|pediatric meningioma of brain|pediatric meningioma of the brain
DOID:5746	cystadenocarcinoma ovarian serous|cystadenocarcinoma ovary serous|ovarian serous cystadenocarcinoma|ovarian serous cystadenocarcinomas|serous cystadenocarcinoma of the ovary|serous cystadenocarcinoma ovary
DOID:3351	bone angioendothelial sarcoma|bone angioendothelial sarcomas|bone angiosarcoma|bone angiosarcomas|bone hemangioendothelial sarcoma|bone hemangioendothelial sarcomas|bone hemangiosarcoma|bone hemangiosarcomas|osseous angioendothelial sarcoma|osseous angioendothelial sarcomas|osseous angiosarcoma|osseous angiosarcomas|osseous hemangiosarcoma|osseous hemangiosarcomas
DOID:3352	malignant bone fibrous histiocytoma|malignant bone fibrous histiocytomas|malignant fibrous histiocytoma of bone|malignant fibrous histiocytoma of the bone|unclassified pleomorphic sarcoma of bone|unclassified pleomorphic sarcoma of bone (formerly "malignant fibrous histiocytoma" of bone)|unclassified pleomorphic sarcoma of bone (formerly "mfh" of bone)
DOID:3354	fibrosarcoma of bone
DOID:8140	adrenal ganglioneuroblastoma|adrenal ganglioneuroblastomas|adrenal gland ganglioneuroblastoma|adrenal gland ganglioneuroblastomas
DOID:6344	melanocytic psammomatous malignant peripheral nerve sheath tumor|melanocytic psammomatous malignant peripheral nerve sheath tumors|melanocytic psammomatous malignant peripheral nerve sheath tumour|melanocytic psammomatous mpnst|melanotic psammomatous malignant peripheral nerve sheath tumor|melanotic psammomatous malignant peripheral nerve sheath tumors|melanotic psammomatous malignant peripheral nerve sheath tumour
DOID:5170	endometrioid stromal sarcoma of the vagina|vaginal endometrial stromal sarcoma|vaginal endometrial stromal sarcomas
DOID:3717	adenocarcinoma - stomach|adenocarcinoma gastric|adenocarcinoma of stomach|adenocarcinoma of the stomach|adenocarcinoma stomach|adenocarcinomas gastric|gastric adenocarcinoma|gastric adenocarcinomas|stomach adenocarcinoma|stomach adenocarcinomas
DOID:7491	vulvar proximal-type epithelioid sarcoma|vulvar proximal-type epithelioid sarcomas
DOID:154	malignant mixed neoplasm|malignant mixed neoplasms|malignant mixed tumor|malignant mixed tumors|malignant mixed tumour|malignant mixed tumours|mixed cell type cancer|mixed cell type cancers|mixed neoplasm|mixed neoplasms|mixed tumor|mixed tumors|mixed tumour
DOID:3664	mast cell neoplasm|mast cell neoplasms|mast cell proliferative disease|mast cell tumor|mast cell tumor nos|mast cell tumors|mast cell tumour|mast cell tumour nos|mast cell tumours|mastocytoma|mastocytomas|neoplasm of mast cells|neoplasm of the mast cells|tumor mast cell|tumor of mast cells|tumor of the mast cells|tumour mast cell|tumour of mast cells|tumour of the mast cells
DOID:8223	penile urethral cancer|penile urethral cancers|penile urethral malignant neoplasm|penile urethral malignant neoplasms
DOID:6477	infiltrating bladder urothelial carcinoma|infiltrating bladder urothelial carcinomas|infiltrating transitional cell carcinoma of the urinary bladder|invasive bladder transitional cell carcinoma|invasive bladder transitional cell carcinomas|invasive bladder urothelial carcinoma|invasive bladder urothelial carcinomas|invasive transitional cell carcinoma of the urinary bladder
DOID:3873	cerebellar neuroblastoma|cerebellar neuroblastomas|mben|medulloblastoma with extensive nodularity|medulloblastoma with extensive nodularity and advanced neuronal differentiation|nodular medulloblastoma|nodular medulloblastomas
DOID:4291	fibroepithelial basal cell carcinoma|fibroepithelial basal cell carcinomas|fibroepithelioma|fibroepithelioma of pinkus|fibroepithelioma pinkus|fibroepitheliomas|pinkus tumor|pinkus tumors|pinkus tumour|pinkus tumours|skin fibroepithelial basal cell carcinoma|skin fibroepithelial basal cell carcinomas
DOID:5494	epithelial sarcoma of synovium|epithelial sarcoma of the synovium|epithelial synovial sarcoma|epithelial synovial sarcomas|epithelioid cell sarcoma of synovium|epithelioid cell sarcoma of the synovium|epithelioid cell synovial sarcoma|epithelioid cell synovial sarcomas|epithelioid synovial sarcoma|epithelioid synovial sarcomas
DOID:4292	basal cell carcinoma sclerosing type|morphea-type (sclerosing) basal cell carcinoma|morphea-type (sclerosing) basal cell carcinomas|morphea-type basal cell carcinoma|morphea-type basal cell carcinomas|morpheaform basal cell carcinoma|morpheaform basal cell carcinomas|morpheic basal cell carcinoma|morpheic basal cell carcinomas|sclerosing type basal cell carcinoma|sclerosing type basal cell carcinomas|skin morphea-type (sclerosing) basal cell carcinoma|skin morphea-type (sclerosing) basal cell carcinomas
DOID:3307	dysembryoma|dysembryomas|teratoid tumor|teratoid tumors|teratoid tumour|teratoid tumours|teratoma|teratoma [disease/finding]|teratomas
DOID:0060106	brain meningioma|brain meningiomas
DOID:3998	bartholin gland transitional cell carcinoma|bartholin gland transitional cell carcinomas|bartholin's gland transitional cell carcinoma|bartholin's gland transitional cell carcinomas
DOID:3076	adult astrocytic neoplasm|adult astrocytic neoplasms|adult astrocytic tumor|adult astrocytic tumors|adult astrocytic tumour|adult astrocytic tumours
DOID:4232	extraosseous ewing sarcoma/peripheral primitive neuroectodermal tumor|extraosseous ewing sarcoma/peripheral primitive neuroectodermal tumors|extraosseous ewing sarcoma/peripheral primitive neuroectodermal tumour|extraosseous ewing's sarcoma|extraosseous ewing's sarcoma/peripheral primitive neuroectodermal tumor|extraosseous ewing's sarcoma/peripheral primitive neuroectodermal tumors|extraosseous ewing's sarcoma/peripheral primitive neuroectodermal tumour|extraosseous ewing's sarcomas
DOID:4422	adenocarcinofibroma|adenocarcinofibromas|malignant adenofibroma|malignant adenofibromas
DOID:1973	fallopian tube adenosarcoma|fallopian tube adenosarcomas|fallopian tube mullerian adenosarcoma|fallopian tube mullerian adenosarcomas
DOID:4594	microcystic meningioma|microcystic meningiomas
DOID:5282	leiomyosarcoma of prostate|leiomyosarcoma of the prostate|prostate leiomyosarcoma|prostate leiomyosarcomas
DOID:14059	mal neo paraurethral|malignant neoplasm of paraurethral glands|paraurethral gland cancer|paraurethral gland cancers
DOID:4433	pancreatic delta cell neoplasm|pancreatic delta cell neoplasms|pancreatic delta cell net|pancreatic delta cell neuroendocrine tumor|pancreatic delta cell neuroendocrine tumors|pancreatic delta cell neuroendocrine tumour|pancreatic delta cell tumor|pancreatic delta cell tumors|pancreatic delta cell tumour
DOID:10047	melanoma nodular|melanomas nodular|nodular malignant melanoma|nodular malignant melanoma of skin|nodular malignant melanoma of the skin|nodular malignant melanomas|nodular malignant skin melanoma|nodular malignant skin melanomas|nodular melanoma|nodular melanomas
DOID:3520	childhood fibrosarcoma|childhood fibrosarcomas|pediatric fibrosarcoma|pediatric fibrosarcomas
DOID:4929	carcinoma tubular|tubular adenocarcinoma|tubular adenocarcinomas|tubular carcinoma|tubular carcinomas
DOID:5936	mixed germ cell neoplasm of ovary|mixed germ cell neoplasm of the ovary|mixed germ cell tumor of ovary|mixed germ cell tumor of the ovary|mixed germ cell tumour of ovary|mixed germ cell tumour of the ovary|ovarian mixed germ cell neoplasm|ovarian mixed germ cell neoplasms|ovarian mixed germ cell tumor|ovarian mixed germ cell tumors|ovarian mixed germ cell tumour
DOID:6179	ovarian small cell carcinoma|ovarian small cell carcinomas
DOID:7878	uterine corpus atypical polypoid adenomyoma|uterine corpus atypical polypoid adenomyomas
DOID:4680	breast metaplastic carcinoma|breast metaplastic carcinomas|metaplastic breast carcinoma|metaplastic breast carcinomas|metaplastic carcinoma of breast|metaplastic carcinoma of the breast
DOID:6423	childhood central nervous system mature teratoma|childhood central nervous system mature teratomas
DOID:7076	lipid secreting breast carcinoma|lipid secreting breast carcinomas|lipid-rich breast carcinoma|lipid-rich breast carcinomas
DOID:4645	cancer of the retina|malign neopl retina|malignant neoplasm of retina|malignant neoplasm of the retina|malignant retina neoplasm|malignant retina neoplasms|malignant retina tumor|malignant retina tumors|malignant retina tumour|malignant retinal neoplasm|malignant retinal neoplasms|malignant retinal tumor|malignant retinal tumors|malignant retinal tumour|malignant tumor of retina|malignant tumor of the retina|malignant tumour of retina|malignant tumour of the retina|neopl retinal|neoplasm of retina|neoplasm of the retina|retina neoplasm|retina neoplasms|retina tumor|retina tumors|retina tumour|retina--cancer|retina--cancers|retinal cancer|retinal cancers|retinal neopl|retinal neoplasm|retinal neoplasms|retinal neoplasms [disease/finding]|retinal tumor|retinal tumors|retinal tumour|retinal tumours|tumor of retina|tumor of the retina|tumour of retina|tumour of the retina
DOID:0050806	glioblastoma neural subtype
DOID:2596	ca larynx|cancer laryngeal|cancer larynx|cancer of larynx|cancer of the larynx|laryngeal cancer|laryngeal cancers|larynx cancer|larynx cancers|larynx neoplasm malignant|larynx--cancer|larynx--cancers|malignant laryngeal neoplasm|malignant laryngeal neoplasms|malignant laryngeal tumor|malignant laryngeal tumors|malignant laryngeal tumour|malignant larynx neoplasm|malignant larynx neoplasms|malignant larynx tumor|malignant larynx tumors|malignant larynx tumour|malignant neo larynx nos|malignant neoplasm of larynx|malignant neoplasm of the larynx|malignant tumor of larynx|malignant tumor of the larynx|malignant tumour of larynx|malignant tumour of the larynx|of larynx cancer|of larynx cancers
DOID:5519	colon epidermoid carcinoma|colon epidermoid carcinomas|colon squamous cell carcinoma|colon squamous cell carcinomas|colonic epidermoid carcinoma|colonic epidermoid carcinomas|colonic squamous cell carcinoma|colonic squamous cell carcinomas|epidermoid carcinoma of colon|epidermoid carcinoma of the colon|squamous cell carcinoma of colon|squamous cell carcinoma of the colon|squamous cell colon carcinoma|squamous cell colon carcinomas
DOID:1294	cancer of the vulva|cancer of vulva|cancer vulva|cancer vulvar|carcinoma of the vulva|carcinoma of vulva|carcinoma vulva|carcinoma vulvar|vulva cancer|vulva cancers|vulva carcinoma|vulva carcinomas|vulvar cancer|vulvar cancers|vulvar carcinoma|vulvar carcinomas
DOID:7696	lung hilum cancer|lung hilum cancers|primary malignant neoplasm of hilus of lung
DOID:5838	extragonadal primary seminoma|extragonadal primary seminomas|extragonadal seminoma|extragonadal seminomas|primary extragonadal seminoma|primary extragonadal seminomas
DOID:6886	small cell carcinoma of the ureter|small cell carcinoma of ureter|ureter small cell carcinoma|ureter small cell carcinomas|ureteral small cell carcinoma|ureteral small cell carcinomas
DOID:7429	childhood brain germinoma|childhood brain germinomas|germinoma of childhood brain|germinoma of pediatric brain|germinoma of the childhood brain|germinoma of the pediatric brain|pediatric brain germ cell cancer|pediatric brain germ cell cancers|pediatric brain germinoma|pediatric brain germinomas
DOID:6760	lung lymphoma|lung lymphomas
DOID:5599	precursor t-lymphoblastic lymphoma/leukemia
DOID:8208	lung superior sulcus carcinoma|lung superior sulcus carcinomas|superior sulcus carcinoma of lung|superior sulcus carcinoma of the lung|superior sulcus lung carcinoma|superior sulcus lung carcinomas
DOID:5117	cyst dermoid of ovary|cyst dermoid ovaries|cyst dermoid ovary|cysts dermoid ovarian|cysts dermoid ovaries|cysts dermoid ovary|dermoid cyst of ovary|dermoid cyst of the ovary|dermoid cyst ovary|dermoid ovarian cyst|ovarian cyst dermoid|ovarian dermoid cyst
DOID:7192	hereditary clear cell renal cell carcinoma|hereditary clear cell renal cell carcinomas|hereditary conventional (clear cell) renal cell carcinoma|hereditary conventional (clear cell) renal cell carcinomas|hereditary conventional renal cell carcinoma|hereditary conventional renal cell carcinomas
DOID:5630	bartholin gland adenosquamous carcinoma|bartholin gland adenosquamous carcinomas|bartholin's gland adenosquamous carcinoma|bartholin's gland adenosquamous carcinomas
DOID:8216	parapharyngeal meningioma|parapharyngeal meningiomas
DOID:14491	local malignant ureter neoplasm|local malignant ureter neoplasms|local malignant ureter tumor|local malignant ureter tumors|local malignant ureter tumour|local malignant ureteral neoplasm|local malignant ureteral neoplasms|local malignant ureteral tumor|local malignant ureteral tumors|local malignant ureteral tumour|regional malignant ureter neoplasm|regional malignant ureter neoplasms|regional malignant ureter tumor|regional malignant ureter tumors|regional malignant ureter tumour|regional malignant ureteral neoplasm|regional malignant ureteral neoplasms|regional malignant ureteral tumor|regional malignant ureteral tumors|regional malignant ureteral tumour|regional ureter carcinoma|regional ureter carcinomas|regional ureteric cancer|regional ureteric cancers|regional ureteric carcinoma|regional ureteric carcinomas
DOID:7787	breast extraskeletal osteosarcoma|breast extraskeletal osteosarcomas|breast osteosarcoma|breast osteosarcomas|osteogenic breast sarcoma|osteogenic breast sarcomas|osteogenic sarcoma of breast|osteogenic sarcoma of the breast|osteosarcoma of breast|osteosarcoma of the breast
DOID:4869	adenoid cystic carcinoma of larynx|adenoid cystic carcinoma of the larynx|laryngeal adenoid cystic carcinoma|laryngeal adenoid cystic carcinomas
DOID:176	cardiovascular cancer|cardiovascular cancers|cardiovascular neoplasm|cardiovascular neoplasms|cardiovascular tumor|cardiovascular tumors|cardiovascular tumour|neoplasm circ system|neoplasm circulatory system
DOID:6547	cardiac lymphoma|cardiac lymphomas|heart lymphoma|heart lymphomas|lymphoma of heart|lymphoma of the heart|primary cardiac lymphoma|primary cardiac lymphomas
DOID:0060116	sensory system cancer|sensory system cancers
DOID:8338	villoglandular variant cervical mucinous adenocarcinoma|villoglandular variant cervical mucinous adenocarcinomas
DOID:5831	endometrioid adenocarcinoma of fallopian tube|endometrioid adenocarcinoma of the fallopian tube|endometrioid carcinoma of fallopian tube|endometrioid carcinoma of the fallopian tube|fallopian tube endometrioid adenocarcinoma|fallopian tube endometrioid adenocarcinomas|fallopian tube endometrioid carcinoma|fallopian tube endometrioid carcinomas|fallopian tube endometrioid neoplasm|fallopian tube endometrioid neoplasms|fallopian tube endometrioid tumor|fallopian tube endometrioid tumors|fallopian tube endometrioid tumour
DOID:6777	villoglandular endometrial endometrioid adenocarcinoma|villoglandular endometrial endometrioid adenocarcinomas
DOID:8533	cancer hypopharyngeal|cancer hypopharynx|hypopharyngeal cancer|hypopharyngeal cancers|hypopharynx cancer|hypopharynx cancers|hypopharynx--cancer|hypopharynx--cancers|mal neo hypopharynx nos|mal neo post hypopharynx|malignant hypopharyngeal neoplasm|malignant hypopharyngeal neoplasms|malignant hypopharyngeal tumor|malignant hypopharyngeal tumors|malignant hypopharyngeal tumour|malignant neoplasm of hypopharynx|malignant neoplasm of hypopharynx nos|malignant neoplasm of posterior hypopharyngeal wall|malignant neoplasm of posterior wall of hypopharynx|malignant neoplasm of the hypopharynx|malignant tumor of hypopharynx|malignant tumor of the hypopharynx|malignant tumour of hypopharynx|malignant tumour of the hypopharynx
DOID:7571	malignant cystic nephroma|malignant cystic nephromas
DOID:3672	malignant rhabdoid tumor|malignant rhabdoid tumors|malignant rhabdoid tumour|rhabdoid cancer|rhabdoid cancers|rhabdoid sarcoma|rhabdoid sarcomas|rhabdoid tumor|rhabdoid tumor [disease/finding]|rhabdoid tumors|rhabdoid tumour|rhabdoid tumour [disease/finding]|rhabdoid tumours|sarcoma rhabdoid
DOID:2649	chondroblastoma|chondroblastoma [disease/finding]|chondroblastomas
DOID:7050	basaloid carcinoma of the thymus|basaloid carcinoma of thymus|thymic basaloid carcinoma|thymic basaloid carcinomas|thymus basaloid carcinoma|thymus basaloid carcinomas
DOID:0050617	malignant sertoli cell tumor|malignant sertoli cell tumors|malignant sertoli cell tumour
DOID:6003	aleukemic leukemia cutis
DOID:0050619	accessory sinus adenocarcinoma|accessory sinus adenocarcinomas|accessory sinus adenoid cystic carcinoma|accessory sinus adenoid cystic carcinomas|accessory sinus cancer|accessory sinus cancers|accessory sinus carcinoma|accessory sinus carcinomas|accessory sinus mucoepidermoid carcinoma|accessory sinus mucoepidermoid carcinomas|adenocarcinoma of accessory sinus|adenocarcinoma of paranasal sinus|adenocarcinoma of the accessory sinus|adenocarcinoma of the paranasal sinus|adenoid cystic carcinoma of accessory sinus|adenoid cystic carcinoma of paranasal sinus|adenoid cystic carcinoma of the accessory sinus|adenoid cystic carcinoma of the paranasal sinus|cancer of paranasal sinus|cancer of the paranasal sinus|carcinoma of accessory sinus|carcinoma of paranasal sinus|carcinoma of the accessory sinus|carcinoma of the paranasal sinus|epidermoid carcinoma of paranasal sinus|epidermoid carcinoma of the paranasal sinus|mucoepidermoid carcinoma of accessory sinus|mucoepidermoid carcinoma of paranasal sinus|mucoepidermoid carcinoma of the accessory sinus|mucoepidermoid carcinoma of the paranasal sinus|paranasal sinus adenocarcinoma|paranasal sinus adenocarcinomas|paranasal sinus adenoid cystic carcinoma|paranasal sinus adenoid cystic carcinomas|paranasal sinus cancer|paranasal sinus cancers|paranasal sinus carcinoma|paranasal sinus carcinomas|paranasal sinus epidermoid carcinoma|paranasal sinus epidermoid carcinomas|paranasal sinus mucoepidermoid carcinoma|paranasal sinus mucoepidermoid carcinomas|paranasal sinus squamous cell carcinoma|paranasal sinus squamous cell carcinomas|sinus paranasal cancer|sinus paranasal cancers|squamous cell carcinoma of paranasal sinus|squamous cell carcinoma of the paranasal sinus
DOID:3071	glioblastoma with a sarcomatous component|glioblastoma with sarcomatous component|gliosarcoma|gliosarcoma [disease/finding]|gliosarcomas|sarcomatous glioma|sarcomatous gliomas
DOID:0050749	peripheral t-cell lymphoma|peripheral t-cell lymphomas
DOID:6510	lung occult squamous cell carcinoma|lung occult squamous cell carcinomas|occult squamous cell carcinoma of lung|occult squamous cell carcinoma of the lung|occult squamous cell lung carcinoma|occult squamous cell lung carcinomas
DOID:3493	adenocarcinoma cells ring signet|carcinoma signet ring cell|signet ring carcinoma|signet ring carcinomas|signet ring cell adenocarcinoma|signet ring cell adenocarcinomas|signet ring cell carcinoma|signet ring cell carcinomas|signet-ring cell carcinoma|signet-ring cell carcinomas
DOID:4015	pseudosarcomatous carcinoma|pseudosarcomatous carcinomas|sarcomatoid carcinoma|sarcomatoid carcinomas|spindle cell carcinoma|spindle cell carcinomas|spindle-cell carcinoma|spindle-cell carcinomas
DOID:0050750	splenic marginal zone lymphoma|splenic marginal zone lymphomas
DOID:3025	acinar adenocarcinoma|acinar adenocarcinomas|acinar carcinoma|acinar carcinomas|acinar cell adenocarcinoma|acinar cell adenocarcinomas|acinar cell carcinoma|acinar cell carcinomas|acinic cell adenocarcinoma|acinic cell adenocarcinomas|acinic cell carcinoma|acinic cell carcinomas|acinic cell tumor|acinic cell tumors|acinic cell tumour|acinic cell tumours
DOID:4916	cancer of pituitary|cancer of pituitary gland|cancer of the pituitary|cancer of the pituitary gland|carcinoma of pituitary|carcinoma of pituitary gland|carcinoma of the pituitary|carcinoma of the pituitary gland|carcinoma pituitary|pituitary cancer|pituitary cancers|pituitary carcinoma|pituitary carcinomas|pituitary gland adenocarcinoma|pituitary gland adenocarcinomas|pituitary gland cancer|pituitary gland cancers|pituitary gland carcinoma|pituitary gland carcinomas|pituitary gland--cancer|pituitary gland--cancers
DOID:3372	chondroblastic osteogenic sarcoma|chondroblastic osteogenic sarcomas|chondroblastic osteosarcoma|chondroblastic osteosarcomas|chondrosarcomatous osteogenic sarcoma|chondrosarcomatous osteogenic sarcomas|chondrosarcomatous osteosarcoma|chondrosarcomatous osteosarcomas
DOID:8133	epiglottic cancer|epiglottic cancers|epiglottic carcinoma|epiglottic carcinomas|epiglottis cancer|epiglottis cancers|mal neo ant epiglottis|malignant epiglottic neoplasm|malignant epiglottic neoplasms|malignant epiglottic tumor|malignant epiglottic tumors|malignant epiglottic tumour|malignant epiglottis neoplasm|malignant epiglottis neoplasms|malignant epiglottis tumor|malignant epiglottis tumors|malignant epiglottis tumour|malignant neoplasm of anterior aspect of epiglottis|malignant neoplasm of anterior surface of epiglottis|malignant neoplasm of epiglottis|malignant neoplasm of epiglottis nos|malignant neoplasm of the epiglottis|malignant tumor of epiglottis|malignant tumor of the epiglottis|malignant tumour of epiglottis|malignant tumour of the epiglottis
DOID:0060534	hepatoid adenocarcinoma|hepatoid adenocarcinomas
DOID:9597	krukenberg carcinoma|krukenberg carcinomas|krukenberg neoplasm|krukenberg neoplasms|krukenberg tumor|krukenberg tumor [disease/finding]|krukenberg tumors|krukenberg tumour|krukenberg tumour [disease/finding]|krukenberg's tumor|krukenberg's tumors|krukenberg's tumour|krukenbergs tumor|krukenbergs tumors|krukenbergs tumour|krukenburg tumor|krukenburg tumors|krukenburg tumour
DOID:3740	verrucous carcinoma of the vulva|verrucous carcinoma of vulva|vulva verrucous carcinoma|vulva verrucous carcinomas|vulvar verrucous carcinoma|vulvar verrucous carcinomas
DOID:3950	adrenal carcinoma|adrenal carcinomas
DOID:8527	monocytic leukemia|other monocytic leukemia
DOID:4853	cerebellar pilocytic astrocytoma|cerebellar pilocytic astrocytomas|pilocytic astrocytoma of cerebellum|pilocytic astrocytoma of the cerebellum
DOID:5784	esophageal neuroendocrine neoplasm|esophageal neuroendocrine neoplasms|esophageal neuroendocrine tumor|esophageal neuroendocrine tumors|esophageal neuroendocrine tumour|neuroendocrine neoplasm of esophagus|neuroendocrine neoplasm of the esophagus
DOID:5726	uterine ligament papillary cystadenoma|uterine ligament papillary cystadenoma associated with von hippel-lindau disease|uterine ligament papillary cystadenomas
DOID:5088	malignant mest|malignant mixed epithelial stromal tumor of the kidney|malignant mixed epithelial stromal tumour of the kidney|mixed epithelial stromal tumour|mixed epithelial stromal tumours
DOID:5834	spermatocytic seminoma|spermatocytic seminomas|spermatocytoma|spermatocytomas|testicular spermatocytic seminoma|testicular spermatocytic seminomas
DOID:6053	childhood germ cell neoplasm|childhood germ cell neoplasms|childhood germ cell tumor|childhood germ cell tumors|childhood germ cell tumour|pediatric germ cell cancer|pediatric germ cell cancers|pediatric germ cell neoplasm|pediatric germ cell neoplasms|pediatric germ cell tumor|pediatric germ cell tumors|pediatric germ cell tumour
DOID:2146	ovarian sarcoma|ovarian sarcomas|ovary sarcoma|ovary sarcomas|sarcoma of ovary|sarcoma of the ovary
DOID:10021	cancer of duodenum|cancer of the duodenum|carcinoma duodenum|carcinoma of duodenum|carcinoma of the duodenum|duodenal cancer|duodenal cancers|duodenal carcinoma|duodenal carcinomas|duodenal malignant tumor|duodenal malignant tumors|duodenal malignant tumour|duodenum cancer|duodenum cancers|duodenum carcinoma|duodenum carcinomas|duodenum--cancer|duodenum--cancers|malignant duodenal neoplasm|malignant duodenal neoplasms|malignant duodenal tumor|malignant duodenal tumors|malignant duodenal tumour|malignant neopl duodenum|malignant neoplasm of duodenum|malignant neoplasm of the duodenum|malignant tumor of duodenum|malignant tumor of the duodenum|malignant tumour of duodenum|malignant tumour of the duodenum
DOID:6703	cancer of gastric pylorus|cancer of pylorus of stomach|cancer of the gastric pylorus|cancer of the pylorus of the stomach|carcinoma of gastric pylorus|carcinoma of pylorus of stomach|carcinoma of the gastric pylorus|carcinoma of the pylorus of the stomach|gastric pylorus cancer|gastric pylorus cancers|gastric pylorus carcinoma|gastric pylorus carcinomas
DOID:5677	cancer of extragonadal non-seminomatous germ cell|cancer of the extragonadal non-seminomatous germ cell|extragonadal non-seminomatous germ cell cancer|extragonadal non-seminomatous germ cell cancers|extragonadal nonseminomatous germ cell tumor|extragonadal nonseminomatous germ cell tumors|extragonadal nonseminomatous germ cell tumour|extragonadal primary nonseminoma|extragonadal primary nonseminomas|malignant extragonadal non-seminomatous germ cell neoplasm|malignant extragonadal non-seminomatous germ cell neoplasms|malignant extragonadal non-seminomatous germ cell tumor|malignant extragonadal non-seminomatous germ cell tumors|malignant extragonadal non-seminomatous germ cell tumour|malignant extragonadal nonseminoma|malignant extragonadal nonseminomas|malignant neoplasm of extragonadal non-seminomatous germ cell|malignant neoplasm of the extragonadal non-seminomatous germ cell|malignant tumor of extragonadal non-seminomatous germ cell|malignant tumor of the extragonadal non-seminomatous germ cell|malignant tumour of extragonadal non-seminomatous germ cell|malignant tumour of the extragonadal non-seminomatous germ cell|primary malignant extragonadal nonseminoma|primary malignant extragonadal nonseminomas
DOID:1906	cutaneous malignant fibrous histiocytoma|cutaneous malignant fibrous histiocytomas|cutaneous unclassified pleomorphic sarcoma|cutaneous unclassified pleomorphic sarcoma (formerly cutaneous "malignant fibrous histiocytoma")|cutaneous unclassified pleomorphic sarcoma (formerly cutaneous "mfh")|cutaneous unclassified pleomorphic sarcomas|malignant cutaneous fibrous histiocytoma|malignant cutaneous fibrous histiocytomas|malignant fibrous histiocytoma of skin|malignant fibrous histiocytoma of the skin|malignant skin fibrous histiocytoma|malignant skin fibrous histiocytomas
DOID:2093	malignant melanoma of vulva|vulvar melanoma|vulvar melanomas
DOID:8683	chloroleukemia|chloroma|chloromas|chloromyeloma|chloromyelomas|chlorosarcoma|chlorosarcomas|extramedullary myeloid cell tumor|extramedullary myeloid cell tumors|extramedullary myeloid cell tumour|extramedullary myeloid tumor|extramedullary myeloid tumors|extramedullary myeloid tumour|granulocytic sarcoma|granulocytic sarcomas|myeloid sarcoma|myeloid sarcomas|myelosarcoma|myelosarcomas|sarcoma granulocytic
DOID:2095	malignant neoplasm of sweat gland|malignant neoplasm of the sweat gland|malignant sweat gland neoplasm|malignant sweat gland neoplasms|malignant tumor of sweat gland|malignant tumor of the sweat gland|malignant tumour of sweat gland|malignant tumour of the sweat gland|sweat gland cancer|sweat gland cancers
DOID:6629	nipple carcinoma|nipple carcinomas
DOID:2096	sarcoma of vulva|sarcoma vulva|vulva sarcoma|vulva sarcomas|vulvar sarcoma|vulvar sarcomas
